texto_acordao,
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em consonância com o Corpo Técnico da DAP e o Ministério Público de Contas, com fulcro nos fundamentos fáticos e jurídicos dantes explanados, e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO tácito do ato de aposentadoria sob análise, nos termos do artigo 71, inciso III, da Constituição Federal; artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar nº 464/2012, reconhecendo-se assim a estabilização da situação jurídica sob análise, em face dos princípios constitucionais da segurança jurídica e da confiança legítima, conforme tese jurídica recente do Supremo Tribunal Federal, em sede do Tema 445 de repercussão geral, nos autos do Recurso Extraordinário nº 636.553/RS.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em consonância com o Corpo Técnico da DAP e o Ministério Público de Contas, com fulcro nos fundamentos fáticos e jurídicos dantes explanados, e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO tácito do ato de aposentadoria sob análise, nos termos do artigo 71, inciso III, da Constituição Federal; artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar nº 464/2012, reconhecendo-se assim a estabilização da situação jurídica sob análise, em face dos princípios constitucionais da segurança jurídica e da confiança legítima, conforme tese jurídica recente do Supremo Tribunal Federal, em sede do Tema 445 de repercussão geral, nos autos do Recurso Extraordinário nº 636.553/RS.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em consonância com o Corpo Técnico da DAP e o Ministério Público de Contas, com fulcro nos fundamentos fáticos e jurídicos dantes explanados, e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO tácito do ato de aposentadoria sob análise, nos termos do artigo 71, inciso III, da Constituição Federal; artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar nº 464/2012, reconhecendo-se assim a estabilização da situação jurídica sob análise, em face dos princípios constitucionais da segurança jurídica e da confiança legítima, conforme tese jurídica recente do Supremo Tribunal Federal, em sede do Tema 445 de repercussão geral, nos autos do Recurso Extraordinário nº 636.553/RS.",
"Vistos, relatados e discutidos estes autos, em consonância com o entendimento do Ministério Público de Contas, tratando-se de matéria de ordem pública, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo reconhecimento da ocorrência da PRESCRIÇÃO QUINQUENAL da pretensão punitiva e ressarcitória desta Corte de Contas, e pelo consequente ARQUIVAMENTO do feito, nos termos do art. 111, caput, da Lei Complementar Estadual nº 464/2012.

ACORDAM, ainda, pelo envio de cópia dos autos ao Ministério Público Estadual, para conhecimento desta decisão.  

Por fim, não estando presentes quaisquer das hipóteses do art. 47, parágrafo único, da LCE nº 464/2012, resta desnecessária qualquer intimação postal, sendo suficiente a publicação do Acórdão respectivo no Diário Oficial eletrônico desta Corte.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acatando o pronunciamento do Corpo Técnico da DAP e do Ministério Público junto ao Tribunal de Contas, e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo prejuízo do exame de mérito da matéria, por perda de objeto, haja vista a extinção do prazo de vigência do contrato, exaurindo os efeitos financeiros da referida contratação temporária em momento anterior a qualquer decisão desta Corte de Contas, nos termos do artigo 312, § 4º, do Regimento Interno do TCE-RN e, consequentemente, pelo arquivamento do processo.",
"
Vistos, relatados e discutidos estes autos, em dissonância com o posicionamento do MPJTC – que opinou pelo arquivamento dos autos face a ocorrência da prescrição quinquenal –, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo afastamento da preliminar de prescrição quinquenal e pela APROVAÇÃO COM RESSALVAS das contas da Empresa Gestora de Ativos do RN (EMGERN), referente ao exercício de 2014, sob a responsabilidade de Júlio César Soares Câmara, nos termos do art. 74 da Lei Complementar nº 464/2012.

ACORDAM, ainda, pela expedição de recomendação à EMGERN sobre a necessidade de apresentação de toda a documentação exigida nas suas prestações anuais de contas, conforme a Resolução de regência deste TCE aplicável a cada um dos exercícios fiscalizados.",
"
Vistos, relatados e discutidos estes autos, em consonância com os posicionamentos do Corpo Técnico e do Parquet Especial, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar:

I) pela irregularidade da matéria, nos termos do art. 75, inciso I, da Lei Complementar nº 464/2012, e pela aplicação de multa no valor de R$ 20.585,16 (vinte mil, quinhentos e oitenta e cinco reais e dezesseis centavos) ao gestor responsável, Sr. Manoel dos Santos Bernardo, nos termos do art. 21, inciso I, da Resolução nº 012/2016-TCE, c/c art. 107, II, alínea ‘f’, da LOTCE, e da Portaria nº 05/2025-GP/TCE.

II) pela determinação ao atual gestor do Consórcio Público Intermunicipal de Saneamento Básico da Região do Mato Grande – CISMAG, ou quem estiver no exercício do cargo ao tempo do cumprimento desta obrigação de fazer, para que, no prazo de 60 (sessenta) dias úteis, entregue, por meio do portal do gestor, as Contas Anuais de Gestão do exercício de 2022, sob pena de multa pessoal de R$ 100,00 (cem reais) por cada dia útil de mora, a qual limito ao montante de 20.585,16 (vinte mil, quinhentos e oitenta e cinco reais e dezesseis centavos), nos termos do art. 110 da LCE nº 464/2012, sem prejuízo de apuração de responsabilidade em desfavor do(a) gestor/responsável(a) omisso(a). 

II-A) em caso da impossibilidade de apresentação das contas determinada no item II desse dispositivo, DEVERÁ o(a) atual gestor(a) do Consórcio Público Intermunicipal de Saneamento Básico da Região do Mato Grande – CISMAG comprovar justo impedimento, demonstrando que tomou todas as medidas fixadas no art. 22, parágrafo único, incisos I, II e III, da Resolução nº 012/2016-TCE; 

III) pela suspensão do fornecimento de Certidão de Adimplência do órgão jurisdicionado junto ao Tribunal de Contas enquanto permanecer a omissão no envio das Contas Anuais de Gestão, conforme disposto no artigo 21, inciso II, da Resolução nº 012/2016-TCE/RN;  

IV) pela remessa de cópia dos autos ao Ministério Público Estadual, com vistas à adoção das providências eventualmente cabíveis, nos termos do artigo 75, § 3º, da Lei Complementar Estadual nº 464/2012.
 
V) pela expedição de recomendação ao órgão jurisdicionado, para que adote as providências administrativas necessárias para que passe a remeter a prestação de contas anuais de gestão de forma correta e tempestiva;

Por fim, transcorrido o prazo legal sem a interposição de recurso em face do presente Decisum, deverá a Diretoria de Expediente – DE certificar o trânsito em julgado, e, após, a Diretoria de Instrução Processual e Controle de Decisões – DIP deverá adotar os procedimentos necessários à execução, especialmente o disposto nos arts. 117 e 118, da LCE nº 464/2012.",
"Vistos, relatados e discutidos estes autos de processo de monitoramento do cumprimento da determinação contida na Decisão nº 1374/2020 – TC, proferida pelo Tribunal Pleno. Acatando o entendimento do Corpo Técnico e parcialmente o pronunciamento do Ministério Público Especial, discordando apenas da aplicação de multa diária, com fulcro nos fundamentos jurídicos dantes explanados, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar: 
a)	pela APLICAÇÃO DE MULTA no valor de R$1.000,00 (mil reais) para o então gestor responsável, à época dos fatos, pelo Instituto de Previdência dos Servidores do Estado do Rio Grande do Norte - IPERN,  senhor Nereu Batista Linhares, nos termos do artigo 107, inciso II, alínea “f”, da Lei Complementar Estadual nº 464/2012 c/c o artigo 323, inciso II, alínea `f`, do Novel Regimento Interno desta Casa, em virtude do descumprimento de determinação do Tribunal (Decisão nº 1374/2020-TC).
b)	pela INTIMAÇÃO da referida autoridade competente nominada, a fim de que tome conhecimento desta decisão e, se for o caso, apresente recurso no prazo regimental. 
c)	pela RENOVAÇÃO DA DETERMINAÇÃO constante na decisão retro, estipulando o prazo de 30 (trinta) dias úteis, após o trânsito em julgado, para que o IPERN, no seu atual gestor, no uso de suas atribuições, regularize a situação noticiada nos autos, pontuada na fundamentação deste voto.
d)	Por fim, esclarecendo ao órgão de origem que a denegação ora declarada não enseja a suspensão do pagamento dos proventos de aposentadoria da interessada, mas tão somente demanda a sua correção consoante as determinações expostas anteriormente neste voto.",
"Vistos, relatados e discutidos estes autos que tratam de suposta contradição do Acórdão nº 08/2023-TC que manteve a decisão que denegou o registro da aposentadoria de servidor, proferida pelo Tribunal Pleno sob a Decisão nº 2159/2020-TC. Manifestando concordância com o entendimento do Ministério Público Especial, com fulcro nos fundamentos jurídicos dantes explanados, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo conhecimento do recurso de Embargos de Declaração ofertado pelo recorrente para, no mérito, negar-lhe provimento, permanecendo todos os termos do Acórdão nº 08/2023-TC e, por conseguinte, da Decisão nº 2159/2020-TC. ",
"
Vistos, relatados e discutidos estes autos, em consonância com o entendimento do Corpo Técnico e do Ministério Público de Contas, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo reconhecimento da prescrição quinquenal da pretensão punitiva desta Corte de Contas, com o consequente ARQUIVAMENTO do feito, nos termos do art. 111, caput, da Lei Complementar nº 464/2012.

ACORDAM, ainda, por recomendar à Secretaria de Controle Externo (SECEX) deste Tribunal, a adoção de procedimentos com vistas a impedir a consumação da prescrição nas Unidades Técnicas a ela vinculadas.

ACORDAM, por fim, na ausência de quaisquer das hipóteses do art. 47, parágrafo único, da LCE nº 464/2012, resta desnecessária qualquer intimação postal, sendo suficiente a publicação do Acórdão respectivo no Diário Oficial eletrônico desta Corte.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em consonância com o Corpo Técnico da DAP e o Ministério Público de Contas, com fulcro nos fundamentos fáticos e jurídicos dantes explanados, e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO tácito do ato de aposentadoria sob análise, nos termos do artigo 71, inciso III, da Constituição Federal; artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar nº 464/2012, reconhecendo-se assim a estabilização da situação jurídica sob análise, em face dos princípios constitucionais da segurança jurídica e da confiança legítima, conforme tese jurídica recente do Supremo Tribunal Federal, em sede do Tema 445 de repercussão geral, nos autos do Recurso Extraordinário nº 636.553/RS.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em consonância com o Corpo Técnico da DAP e o Ministério Público de Contas, com fulcro nos fundamentos fáticos e jurídicos dantes explanados, e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO tácito do ato de aposentadoria sob análise, nos termos do artigo 71, inciso III, da Constituição Federal; artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar nº 464/2012, reconhecendo-se assim a estabilização da situação jurídica sob análise, em face dos princípios constitucionais da segurança jurídica e da confiança legítima, conforme tese jurídica recente do Supremo Tribunal Federal, em sede do Tema 445 de repercussão geral, nos autos do Recurso Extraordinário nº 636.553/RS.",
"Vistos, relatados e discutidos estes autos, manifestando concordância com o entendimento do Corpo Técnico da DAP e do Ministério Público Especial, com fulcro nos fundamentos jurídicos dantes explanados, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo conhecimento do recurso de Pedido de Reconsideração ofertado pelo Instituto de Previdência dos Servidores do Município de São Miguel - IPSAM para, no mérito, dar-lhe provimento, modificando os termos da Decisão nº 2247/2022-TC, já prolatada por esta Corte de Contas e, por conseguinte, pelo registro do ato concessivo de aposentadoria em apreço. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em harmonia com o entendimento do Corpo Técnico da DAP e discordando do pronunciamento do Ministério Público de Contas, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO DO ATO DE ADMISSÃO em apreço, nos termos do artigo 71, inciso III, da Constituição Federal, artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar Estadual nº 464/2012, em conformidade com o Enunciado da Súmula nº 26-TCE.

DECIDEM, ainda, pela prejudicialidade da postulação de constituição de procedimento de apuração de responsabilidade, uma vez que já existe processo de apuração em curso de número 000060/2018-TC, com alcance sobre todas as nomeações com base no concurso público supracitado.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, com fulcro nos fundamentos fáticos e jurídicos dantes explanados, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO tácito do ato de aposentadoria sob análise, nos termos do artigo 71, inciso III, da Constituição Federal; artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar nº 464/2012, reconhecendo-se assim a estabilização da situação jurídica sob análise, em face dos princípios constitucionais da segurança jurídica e da confiança legítima, conforme tese jurídica recente do Supremo Tribunal Federal, em sede do Tema 445 de repercussão geral, nos autos do Recurso Extraordinário nº 636.553/RS.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acatando o pronunciamento do Corpo Técnico da DAP e do Ministério Público Especial, com fulcro nos fundamentos jurídicos dantes explanados, acolhendo integralmente o voto do Conselheiro Relator, julgar: 

a)	pela DENEGAÇÃO do registro do ato concessivo de aposentadoria em foco, nos termos do artigo 53, inciso III, da Constituição Estadual e do artigo 1º, inciso III, da Lei Complementar nº 464/2012, visto que ainda persistem irregularidades nos autos, com relação a ausência de documentos essenciais a análise do pleito, as quais maculam a aprovação da matéria;

b)	pela INTIMAÇÃO do Fundo de Seguridade Social de Macau - MACAUPREV, assim como da interessada, a senhora Ana Maria Souza de Araújo, a fim de que tomem conhecimento desta Decisão e, se for o caso, apresentem recurso no prazo regimental; 

c)	Pela DETERMINAÇÃO ao órgão previdenciário, no seu atual gestor, após o trânsito em julgado, no prazo de 30 (trinta) dias, para que regularize a situação noticiada nos autos, providenciando a remessa dos documentos faltantes, imprescindíveis à análise da legalidade do ato, sob pena de sanção pecuniária prevista no artigo 107, inciso II, alínea `f`, da Lei Complementar Estadual nº 464/2012.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em harmonia com o entendimento do Corpo Técnico da DAP, discordando do pronunciamento do Ministério Público de Contas e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO EXCEPCIONAL DO ATO DE ADMISSÃO em apreço, nos termos do artigo 71, inciso III, da Constituição Federal, artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar Estadual nº 464/2012, em conformidade com o Enunciado da Súmula nº 26-TCE, haja vista a ausência de indícios de vícios de ordem pessoal relacionados à servidora. 

DECIDEM, ainda, pela prejudicialidade da postulação de constituição de procedimento de apuração de responsabilidade, uma vez que o processo que apura a regularidade do certame sob o número 014282/2017/2018-TC, com alcance sobre todas as nomeações, ainda não foi concluído.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em dissonância com o entendimento do Corpo Técnico da DAP e do Ministério Público Especial, com fulcro nos fundamentos fáticos e jurídicos dantes explanados, acolhendo integralmente o voto do Conselheiro Relator, julgar pela APROVAÇÃO DA MATÉRIA, para fins de registro, nos termos do artigo 53, inciso III, da Constituição Estadual e do artigo 1º, inciso III, da Lei Complementar nº 464/2012. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em harmonia com o entendimento do Corpo Técnico da DAP e o pronunciamento do Ministério Público de Contas, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO DO ATO DE ADMISSÃO em apreço, nos termos do artigo 71, inciso III, da Constituição Federal, artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar Estadual nº 464/2012, em conformidade com o Enunciado da Súmula nº 26-TCE.

DECIDEM, ainda, pela prejudicialidade da postulação de constituição de procedimento de apuração de responsabilidade, uma vez que já existe processo que apura a regularidade do certame em curso de número 000060/2018-TC, com alcance sobre todas as nomeações com base no concurso público supracitado.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em harmonia com o entendimento do Corpo Técnico da DAP e o pronunciamento do Ministério Público de Contas, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO DO ATO DE ADMISSÃO em apreço, nos termos do artigo 71, inciso III, da Constituição Federal, artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar Estadual nº 464/2012, em conformidade com o Enunciado da Súmula nº 26-TCE.

DECIDEM, ainda, pela prejudicialidade da postulação de constituição de procedimento de apuração de responsabilidade, uma vez que já existe processo que apura a regularidade do certame em curso de número 000060/2018-TC, com alcance sobre todas as nomeações com base no concurso público supracitado.",
"
Vistos, relatados e discutidos estes autos, ACORDAM os Conselheiros em julgar pelo deferimento parcial da medida cautelar, para determinar a imediata realização de procedimento licitatório, mantendo-se o contrato atual até o seu prazo final, ou, havendo necessidade de sua prorrogação, que ele seja prorrogado até a efetiva celebração do novo contrato administrativo decorrente da licitação.

ACORDAM, ainda, à unanimidade, com fundamento no artigo 37 da Lei Complementar Estadual n°464/2012 c/c artigo 200 do Regimento Interno, determinar a citação da Senhora Secretária de Estado de Saúde Pública e da contratada Centro de Hemodiálise de Parnamirim, para que, no prazo de 20 (vinte) dias úteis, apresente as razões defensórias em face das irregularidades apontadas na Representação e pelo Corpo Técnico da então Diretoria de Administração Direta.

Vencido em parte o Relator, uma vez que o julgamento foi pelo deferimento parcial da medida cautelar, nos termos do voto oral do Conselheiro Antonio Ed Souza Santana, que foi acompanhado pelos Conselheiros Antonio Gilberto de Oliveira Jales, Carlos Thompson Costa Fernandes e, em parte, pelo Conselheiro George Montenegro Soares, esse último com formatação de um voto médio, na perspectiva de se aproximar mais do voto do Conselheiro Antonio Ed Souza Santana.",
"
Vistos, relatados e discutidos estes autos, em consonância com o entendimento do Corpo Técnico e do Ministério Público de Contas, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar:

a) pelo reconhecimento e registro da presente matéria como DEMANDA FISCALIZATÓRIA, com seu consequente cadastramento no SISPFA por parte da SECEX, conforme prevê o art. 83, da Lei Complementar 464/2012, cumulado com o artigo 14, inciso IV, da Resolução 16/2020-TCE/RN;
b) e pelo arquivamento do presente caderno processual, na forma do item 3.2.4, do Manual do SISPFA, tendo em vista que o tema não será tratado nestes autos.",
"
Vistos, relatados e discutidos estes autos, em consonância com a manifestação do Corpo Técnico e com o parecer do Representante do Parquet Especial, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar pela regularidade da matéria nos termos do art. 73, da Lei Complementar nº 464/2012, c/c o art. 209, inciso V, do RITCE, determinando o arquivamento do feito.",
"
Vistos, relatados e discutidos estes autos, em consonância com o entendimento do Ministério Público de Contas - MPJTC, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo reconhecimento da ocorrência da PRESCRIÇÃO QUINQUENAL da pretensão punitiva desta Corte de Contas e pelo consequente ARQUIVAMENTO do feito, nos termos do art. 111, caput, da Lei Complementar nº 464/2012.

ACORDAM, ainda, no sentido de que se recomende à Secretaria de Controle Externo (SECEX) desta Corte de Contas que adote procedimentos com vistas a impedir a consumação de prescrição nas Unidades Técnicas a ela vinculadas;

Por fim, ausentes quaisquer das hipóteses do art. 47, parágrafo único, da LCE nº 464/2012, resta desnecessária qualquer intimação postal, sendo suficiente a publicação do Acórdão respectivo no Diário Oficial eletrônico desta Corte.",
