model,display,label,precision,recall,f1,matched,total_gold,total_pred
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,OBRIGACAO,0.9818181818181818,0.4576271186440678,0.6242774566473989,54,118,55
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,RECOMENDACAO,0.2857142857142857,0.041666666666666664,0.07272727272727272,2,48,7
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,RESSARCIMENTO,0.75,0.0967741935483871,0.1714285714285714,6,62,8
gpt-41-mini,GPT-4.1-mini,MULTA,0.726530612244898,0.839622641509434,0.7789934354485777,178,212,245
gpt-41-mini,GPT-4.1-mini,OBRIGACAO,0.5987261146496815,0.7175572519083969,0.6527777777777778,94,131,157
gpt-41-mini,GPT-4.1-mini,RECOMENDACAO,0.4888888888888889,0.8301886792452831,0.6153846153846153,44,53,90
gpt-41-mini,GPT-4.1-mini,RESSARCIMENTO,0.7096774193548387,0.6984126984126984,0.704,44,63,62
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,MULTA,0.8218390804597702,0.7486910994764397,0.7835616438356164,143,191,174
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,OBRIGACAO,0.8888888888888888,0.5423728813559322,0.6736842105263159,64,118,72
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,RECOMENDACAO,0.7142857142857143,0.20833333333333334,0.3225806451612903,10,48,14
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,RESSARCIMENTO,0.6122448979591837,0.4838709677419355,0.5405405405405406,30,62,49
gpt-35,GPT-3.5,MULTA,0.7510729613733905,0.8254716981132075,0.7865168539325843,175,212,233
gpt-35,GPT-3.5,OBRIGACAO,0.5986394557823129,0.6717557251908397,0.6330935251798561,88,131,147
gpt-35,GPT-3.5,RECOMENDACAO,0.5172413793103449,0.8490566037735849,0.642857142857143,45,53,87
gpt-35,GPT-3.5,RESSARCIMENTO,0.5949367088607594,0.746031746031746,0.6619718309859155,47,63,79
gpt-41,GPT-4.1,MULTA,0.7587719298245614,0.8160377358490566,0.7863636363636364,173,212,228
gpt-41,GPT-4.1,OBRIGACAO,0.5343915343915344,0.7709923664122137,0.6312500000000001,101,131,189
gpt-41,GPT-4.1,RECOMENDACAO,0.4574468085106383,0.8113207547169812,0.5850340136054423,43,53,94
gpt-41,GPT-4.1,RESSARCIMENTO,0.7205882352941176,0.7777777777777778,0.7480916030534351,49,63,68
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,MULTA,0.8666666666666667,0.612565445026178,0.7177914110429446,117,191,135
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,OBRIGACAO,0.8823529411764706,0.5084745762711864,0.6451612903225806,60,118,68
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,RECOMENDACAO,0.5454545454545454,0.125,0.20338983050847456,6,48,11
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,RESSARCIMENTO,0.6,0.24193548387096775,0.3448275862068966,15,62,25
gemini-2.5-flash_few_shot,Gemini-2.5-flash,MULTA,0.7877358490566038,0.7877358490566038,0.7877358490566037,167,212,212
gemini-2.5-flash_few_shot,Gemini-2.5-flash,OBRIGACAO,0.4784688995215311,0.7633587786259542,0.5882352941176471,100,131,209
gemini-2.5-flash_few_shot,Gemini-2.5-flash,RECOMENDACAO,0.5,0.8301886792452831,0.624113475177305,44,53,88
gemini-2.5-flash_few_shot,Gemini-2.5-flash,RESSARCIMENTO,0.6825396825396826,0.6825396825396826,0.6825396825396826,43,63,63
deepseek-v3_few_shot,DeepSeek-V3,MULTA,0.7307692307692307,0.8066037735849056,0.7668161434977578,171,212,234
deepseek-v3_few_shot,DeepSeek-V3,OBRIGACAO,0.510989010989011,0.7099236641221374,0.5942492012779552,93,131,182
deepseek-v3_few_shot,DeepSeek-V3,RECOMENDACAO,0.3793103448275862,0.8301886792452831,0.5207100591715977,44,53,116
deepseek-v3_few_shot,DeepSeek-V3,RESSARCIMENTO,0.5,0.5396825396825397,0.5190839694656489,34,63,68
bilstm-crf__supervised,BiLSTM-CRF,MULTA,0.7986111111111112,0.5528846153846154,0.6534090909090909,115,208,144
bilstm-crf__supervised,BiLSTM-CRF,OBRIGACAO,0.8488372093023255,0.5793650793650794,0.6886792452830189,73,126,86
bilstm-crf__supervised,BiLSTM-CRF,RECOMENDACAO,0.45,0.16981132075471697,0.2465753424657534,9,53,20
bilstm-crf__supervised,BiLSTM-CRF,RESSARCIMENTO,0.6551724137931034,0.30158730158730157,0.4130434782608695,19,63,29
gpt-41-nano,GPT-4.1-nano,MULTA,0.6812227074235808,0.7358490566037735,0.7074829931972789,156,212,229
gpt-41-nano,GPT-4.1-nano,OBRIGACAO,0.18596491228070175,0.40458015267175573,0.2548076923076923,53,131,285
gpt-41-nano,GPT-4.1-nano,RECOMENDACAO,0.05263157894736842,0.1320754716981132,0.07526881720430108,7,53,133
gpt-41-nano,GPT-4.1-nano,RESSARCIMENTO,0.4189189189189189,0.49206349206349204,0.4525547445255474,31,63,74
