model,display,label,precision,recall,f1,matched,total_gold,total_pred
alfaneo_jurisbert-base-portuguese-uncased__supervised,JurisBERT,RECOMENDACAO,0.45454545454545453,0.19230769230769232,0.27027027027027023,10,52,22
alfaneo_jurisbert-base-portuguese-uncased__supervised,JurisBERT,RESSARCIMENTO,0.660377358490566,0.5555555555555556,0.6034482758620691,35,63,53
alfaneo_bertimbaulaw-base-portuguese-cased__supervised,BERTimbauLaw,MULTA,0.8545454545454545,0.6945812807881774,0.7663043478260869,141,203,165
alfaneo_bertimbaulaw-base-portuguese-cased__supervised,BERTimbauLaw,OBRIGACAO,0.9402985074626866,0.5121951219512195,0.6631578947368421,63,123,67
alfaneo_bertimbaulaw-base-portuguese-cased__supervised,BERTimbauLaw,RECOMENDACAO,0.391304347826087,0.17307692307692307,0.24,9,52,23
alfaneo_bertimbaulaw-base-portuguese-cased__supervised,BERTimbauLaw,RESSARCIMENTO,0.6923076923076923,0.42857142857142855,0.5294117647058824,27,63,39
raquelsilveira_legalbertpt_fp__supervised,LegalBert-pt,MULTA,0.8208092485549133,0.6995073891625616,0.7553191489361701,142,203,173
raquelsilveira_legalbertpt_fp__supervised,LegalBert-pt,OBRIGACAO,0.7752808988764045,0.5609756097560976,0.6509433962264153,69,123,89
raquelsilveira_legalbertpt_fp__supervised,LegalBert-pt,RECOMENDACAO,0.5555555555555556,0.28846153846153844,0.37974683544303794,15,52,27
raquelsilveira_legalbertpt_fp__supervised,LegalBert-pt,RESSARCIMENTO,0.7169811320754716,0.6031746031746031,0.6551724137931034,38,63,53
ulysses-camara_legal-bert-pt-br__supervised,LegalBERTPT-br,MULTA,0.7317073170731707,0.5911330049261084,0.6539509536784741,120,203,164
ulysses-camara_legal-bert-pt-br__supervised,LegalBERTPT-br,OBRIGACAO,0.9827586206896551,0.4634146341463415,0.6298342541436464,57,123,58
ulysses-camara_legal-bert-pt-br__supervised,LegalBERTPT-br,RECOMENDACAO,1.0,0.038461538461538464,0.07407407407407407,2,52,2
ulysses-camara_legal-bert-pt-br__supervised,LegalBERTPT-br,RESSARCIMENTO,1.0,0.06349206349206349,0.11940298507462686,4,63,4
dominguesm_legal-bert-base-cased-ptbr__supervised,Legal-BERT-STF,MULTA,0.8135593220338984,0.7093596059113301,0.7578947368421053,144,203,177
dominguesm_legal-bert-base-cased-ptbr__supervised,Legal-BERT-STF,OBRIGACAO,0.9393939393939394,0.5040650406504065,0.656084656084656,62,123,66
dominguesm_legal-bert-base-cased-ptbr__supervised,Legal-BERT-STF,RECOMENDACAO,0.5555555555555556,0.09615384615384616,0.1639344262295082,5,52,9
dominguesm_legal-bert-base-cased-ptbr__supervised,Legal-BERT-STF,RESSARCIMENTO,0.7560975609756098,0.49206349206349204,0.5961538461538461,31,63,41
dccmpmgfinalisticas_GovBERT-BR__supervised,GovBERT-BR,MULTA,0.8604651162790697,0.5467980295566502,0.6686746987951807,111,203,129
dccmpmgfinalisticas_GovBERT-BR__supervised,GovBERT-BR,OBRIGACAO,0.9642857142857143,0.43902439024390244,0.6033519553072626,54,123,56
dccmpmgfinalisticas_GovBERT-BR__supervised,GovBERT-BR,RECOMENDACAO,0.0,0.0,0.0,0,52,0
dccmpmgfinalisticas_GovBERT-BR__supervised,GovBERT-BR,RESSARCIMENTO,0.7083333333333334,0.2698412698412698,0.3908045977011494,17,63,24
