token,label_original,label_sugerido,confianca,sentenca_idx,contexto
Sr.,B-MULTA,O,0.94759667874386,93,a cargo do Sr. SAINT CLAY ALCÂNTARA
ao,I-RESSARCIMENTO,O,0.9949720996212785,781,remetam-se os autos ao Corpo Técnico a
a,I-RESSARCIMENTO,O,0.9980178643330729,781,ao Corpo Técnico a fim de que
autos,I-RESSARCIMENTO,O,0.9982232165681925,781,"julgado, remetam-se os autos ao Corpo Técnico"
uma,I-RECOMENDACAO,O,0.9988765084826263,506,"as seguintes irregularidades, uma vez que não"
Pela,I-OBRIGACAO,O,0.9984286640192842,491,de Medeiros; b) Pela fixação de prazo
circunstância,I-MULTA,O,0.7597779326097491,93,"à luz da circunstância jurídica da primariedade,"
Maria,B-RESSARCIMENTO,O,0.9639191338247537,527,condenando a Sra Maria Izabel Araújo Montenegro
se,I-RECOMENDACAO,O,0.99887684935588,506,vez que não se afastaram: I. Não
acórdão,I-OBRIGACAO,O,0.9987684685973667,491,de descumprimento deste acórdão para fixação de
elididas,I-MULTA,O,0.9988336848004786,93,cunho formal não elididas após a dialética
para,I-OBRIGACAO,O,0.9985286752432323,616,processo está disponível para consulta no site
examinadas,I-MULTA,O,0.9987526775170843,93,a dialética processual examinadas à luz da
com,I-OBRIGACAO,O,0.9988285485004071,561,"julgado da decisão, com base no artigo"
"75,",I-OBRIGACAO,O,0.9979428451761962,616,"termos do art. 75, § 3º, da"
Comum,I-OBRIGACAO,O,0.9882774481466491,616,"ao Ministério Público Comum Estadual, independentemente do"
disponível,I-OBRIGACAO,O,0.8841544733893013,616,do processo está disponível para consulta no
o,I-MULTA,O,0.9988495921669519,93,"jurídica da primariedade, o que afasta aplicação"
parecer,I-RECOMENDACAO,O,0.9961082600184114,506,que o novo parecer prévio a ser
quanto,I-MULTA,O,0.9989004334556925,93,"SILVA DE MEDEIROS, quanto às irregularidades de"
Após,I-RESSARCIMENTO,O,0.9976184119183581,833,da finalidade pública. Após o trânsito em
de,I-OBRIGACAO,O,0.9984707335201014,616,a imediata remessa de cópia do Acórdão
Câmara.,I-MULTA,O,0.9992972508428684,369,Acórdão n.º 199/2016-1.ª Câmara.
nº,I-OBRIGACAO,O,0.9941724782821024,616,"3º, da LCE nº 464/2012, cientificando o"
do,I-OBRIGACAO,O,0.9988875608195389,561,"Corpo Técnico e do Parquet Especial, sob"
vez,I-RECOMENDACAO,O,0.9980008482520923,506,"seguintes irregularidades, uma vez que não se"
da,I-MULTA,O,0.9987431286676282,93,"da circunstância jurídica da primariedade, o que"
multa,I-MULTA,O,0.8378607381911071,369,"PARCIAL, excluindo a multa imposta no item"
"3º,",I-OBRIGACAO,O,0.8059171294777495,616,"art. 75, § 3º, da LCE nº"
de,I-MULTA,O,0.9987293958080995,93,quanto às irregularidades de cunho formal não
na,I-OBRIGACAO,O,0.9985707079300582,491,"Por derradeiro, ainda, na hipótese de descumprimento"
"irregularidades,",I-RECOMENDACAO,O,0.9966015545395093,506,"CONSIDERE as seguintes irregularidades, uma vez que"
"derradeiro,",I-OBRIGACAO,O,0.998580947793526,491,"acumulados. c) Por derradeiro, ainda, na hipótese"
trânsito,I-RESSARCIMENTO,O,0.9968994208338714,833,"pública. Após o trânsito em julgado, encaminhe-se"
o,I-RESSARCIMENTO,O,0.9982296047627026,781,"nº 121/94;c) Após o trânsito em julgado,"
II,I-RESSARCIMENTO,O,0.9944143963472086,856,"do art. 78, II e IV, §3º,"
dispositivos,I-MULTA,O,0.9992387362882149,369,mantendo os demais dispositivos do Acórdão n.º
às,I-MULTA,O,0.998499454636167,93,"DE MEDEIROS, quanto às irregularidades de cunho"
demais,I-RESSARCIMENTO,O,0.9985171829775271,856,"mantido em seus demais termos, notadamente quanto"
seus,I-RESSARCIMENTO,O,0.9978406514611543,856,"fica mantido em seus demais termos, notadamente"
desta,I-RESSARCIMENTO,O,0.9964828519164249,833,"julgado, encaminhe-se cópia desta decisão ao Ministério"
"78,",I-RESSARCIMENTO,O,0.99761223837518,856,"termos do art. 78, II e IV,"
"voto,",I-RECOMENDACAO,O,0.9983818152888108,638,"teor do presente voto, para que possa"
LCE,I-OBRIGACAO,O,0.8143950496758298,616,"§ 3º, da LCE nº 464/2012, cientificando"
em,I-RESSARCIMENTO,O,0.9981004488015442,833,"Após o trânsito em julgado, encaminhe-se cópia"
por,I-RESSARCIMENTO,O,0.9976674053998015,856,"– TC; e, por fim, ressaltando-se que"
Técnico,I-OBRIGACAO,O,0.919967850962143,561,manifestações do Corpo Técnico e do Parquet
irregularidade,I-RESSARCIMENTO,O,0.998307758832907,856,"ao julgamento pela irregularidade das contas, nos"
decisão,I-RESSARCIMENTO,O,0.9976746820108257,833,encaminhe-se cópia desta decisão ao Ministério Público
na,I-RECOMENDACAO,O,0.9848712741535589,287,conforme endereço constante na peça encartada ao
ao,I-RECOMENDACAO,O,0.9914398332951267,287,"na peça encartada ao Evento 49, no"
Consórcio,I-RECOMENDACAO,O,0.9980384973912942,287,de RECOMENDAÇÃO ao Consórcio Público Regional de
a,I-MULTA,O,0.9987762462170198,93,não elididas após a dialética processual examinadas
Público,I-RECOMENDACAO,O,0.9971388982273092,287,RECOMENDAÇÃO ao Consórcio Público Regional de Saneamento
íntegra,I-OBRIGACAO,O,0.7445669689411184,616,de que a íntegra do processo está
da,I-RESSARCIMENTO,O,0.9982946369556213,859,"configurar a figura da reformatio in pejus,"
o,I-RECOMENDACAO,O,0.9970493488836967,638,"e se for o caso, das medidas"
e,I-RESSARCIMENTO,O,0.893105345448499,781,imposição de juros e atualização monetária. d)
de,I-RESSARCIMENTO,O,0.9974112561518935,781,Técnico a fim de que proceda a
atualizado,O,I-MULTA,0.8629436701006503,810,"cento) do valor atualizado do débito, com"
ao,I-RESSARCIMENTO,O,0.9985026435523378,833,cópia desta decisão ao Ministério Público Estadual.
atualização,I-RESSARCIMENTO,O,0.9936721165795225,781,de juros e atualização monetária. d) Encaminhe-se
constante,I-RECOMENDACAO,O,0.8183591375297867,287,"Soares, conforme endereço constante na peça encartada"
"fim,",I-RESSARCIMENTO,O,0.9983800570217457,856,"TC; e, por fim, ressaltando-se que o"
do,I-RESSARCIMENTO,O,0.9958069373192904,856,"contas, nos termos do art. 78, II"
a,I-RESSARCIMENTO,O,0.9980646304290229,859,por não configurar a figura da reformatio
do,I-MULTA,O,0.9988752130805818,369,os demais dispositivos do Acórdão n.º 199/2016-1.ª
base,I-OBRIGACAO,O,0.9352110093577853,561,"da decisão, com base no artigo 1º,"
Evento,I-RECOMENDACAO,O,0.9964804954743169,287,"peça encartada ao Evento 49, no sentido"
manifestações,I-OBRIGACAO,O,0.9986354822891912,561,observações presentes nas manifestações do Corpo Técnico
§,I-RECOMENDACAO,O,0.7183262752585979,287,"do art. 19, § 2º, da Resolução"
que,I-RESSARCIMENTO,O,0.99828530030538,856,"por fim, ressaltando-se que o Acórdão guerreado"
reformatio,I-RESSARCIMENTO,O,0.9978593193596375,859,"a figura da reformatio in pejus, acrescento"
nº,I-RECOMENDACAO,O,0.9476820085146678,287,"2º, da Resolução nº 012/2016 – TCE),"
ao,I-OBRIGACAO,O,0.9978726820786968,616,Acórdão ora proferido ao Ministério Público Comum
"expostas,",I-RESSARCIMENTO,O,0.9978677587015433,859,"pelas razões já expostas, por não configurar"
das,I-RESSARCIMENTO,O,0.9982559580157955,856,"julgamento pela irregularidade das contas, nos termos"
(trinta,O,I-MULTA,0.7986594303655983,196,equivalente a 30% (trinta por cento) dos
como,I-RECOMENDACAO,O,0.717379231850656,287,ente permanecer cadastrado como jurisdicionado desta Corte
já,I-RESSARCIMENTO,O,0.9979151649366205,859,"Ademais, pelas razões já expostas, por não"
pela,I-RESSARCIMENTO,O,0.9973927552515582,856,"quanto ao julgamento pela irregularidade das contas,"
imposição,I-RESSARCIMENTO,O,0.9189887084540078,781,"valor devido, com imposição de juros e"
equivalente,O,I-MULTA,0.9935247676733853,196,"de 2013, valor equivalente a 30% (trinta"
configurar,I-RESSARCIMENTO,O,0.99604178258996,859,"expostas, por não configurar a figura da"
realização,I-RECOMENDACAO,O,0.9585254666793327,638,relativo à não realização de processo seletivo
os,I-RECOMENDACAO,O,0.9910617639539535,287,"caso em exame, os ditames do art."
a,I-RECOMENDACAO,O,0.8241813849538739,287,"Vale do Assu, a ser enviada ao"
mil,O,I-MULTA,0.8387100818258267,617,"R$ 5.000,00 (cinco mil reais), com fundamento"
valor,O,I-MULTA,0.987197809564173,196,"exercício de 2013, valor equivalente a 30%"
ressaltando-se,I-RESSARCIMENTO,O,0.9981469026926377,856,"e, por fim, ressaltando-se que o Acórdão"
PROVIMENTO,I-MULTA,O,0.9990358414878878,369,"no mérito, DAR-LHE PROVIMENTO PARCIAL, excluindo a"
endereço,I-RECOMENDACAO,O,0.7681185162200912,287,"Montenegro Soares, conforme endereço constante na peça"
não,I-RECOMENDACAO,O,0.8900129782697053,638,fato relativo à não realização de processo
e,I-RESSARCIMENTO,O,0.9837002606260525,856,"art. 78, II e IV, §3º, alínea"
Montenegro,I-RECOMENDACAO,O,0.7000844948706747,287,"atual gestor, Gustavo Montenegro Soares, conforme endereço"
mil,O,I-MULTA,0.8490718248147461,715,"R$ 5.000,00 (cinco mil reais), com fundamento"
(cinco,O,I-MULTA,0.9625025380949108,617,"de R$ 5.000,00 (cinco mil reais), com"
consideração,I-RECOMENDACAO,O,0.7096579261864913,638,possa levar em consideração os fatos aqui
seiscentos,O,I-MULTA,0.9944000816258872,196,"um mil e seiscentos reais), pela omissão"
remessa,I-RECOMENDACAO,O,0.9765858149813208,506,afastaram: I. Não remessa da Demonstração da
examinados,I-RECOMENDACAO,O,0.9030944975307684,638,os fatos aqui examinados quando da preparação
figura,I-RESSARCIMENTO,O,0.9980052513999519,859,não configurar a figura da reformatio in
inexistência,I-RECOMENDACAO,O,0.9972777478175174,287,no caso de inexistência de contas a
enviada,I-RECOMENDACAO,O,0.9853976225758877,287,"Assu, a ser enviada ao seu atual"
no,I-OBRIGACAO,O,0.8310124855108303,671,o ato aposentador no sentido de fazer
d),I-RESSARCIMENTO,O,0.9983610322570299,781,e atualização monetária. d) Encaminhe-se cópia ao
Ciro,B-MULTA,O,0.8859598902768687,104,"o gestor responsável, Ciro Gustavo Alves Bezerra,"
por,I-RESSARCIMENTO,O,0.9972639297582075,859,"razões já expostas, por não configurar a"
ao,I-RESSARCIMENTO,O,0.9969460484715158,856,"termos, notadamente quanto ao julgamento pela irregularidade"
dos,O,I-MULTA,0.9635936656890015,196,"(trinta por cento) dos seus vencimentos anuais,"
Resolução,I-RECOMENDACAO,O,0.9103091408630615,287,"§ 2º, da Resolução nº 012/2016 –"
Lei,I-RESSARCIMENTO,O,0.9610213879813095,856,"alínea “a”, da Lei Complementar nº 121/94."
oportunamente,I-RECOMENDACAO,O,0.8763653272943974,638,"fins de adoção, oportunamente e se for"
pela,I-MULTA,O,0.9982226164782765,93,"da LC 464/2012, pela sanção no valor"
do,O,I-MULTA,0.8411512503395698,810,(cem por cento) do valor atualizado do
apuração,I-RECOMENDACAO,O,0.8297451914267596,638,medidas pertientes à apuração do fato relativo
(cinco,O,I-MULTA,0.9954470622706052,715,"de R$ 5.000,00 (cinco mil reais), com"
no,O,I-MULTA,0.8380134749290081,810,"débito, com fulcro no art. 78, inciso"
"5.000,00",O,I-MULTA,0.9949125608527023,617,"valor de R$ 5.000,00 (cinco mil reais),"
mil,O,I-MULTA,0.9672958928954399,196,"(Vinte e um mil e seiscentos reais),"
Rio,I-OBRIGACAO,O,0.7010794515025371,561,do Estado do Rio Grande do Norte
equivalente,O,I-MULTA,0.8880522571884755,810,de multa no equivalente a 100% (cem
está,I-OBRIGACAO,O,0.9982031473167435,616,íntegra do processo está disponível para consulta
"débito,",O,I-MULTA,0.825082730460258,810,"valor atualizado do débito, com fulcro no"
atraso,O,I-MULTA,0.9604434259395943,716,em razão do atraso no encaminhamento a
na,O,I-MULTA,0.9756600338569693,715,"“b”, da LOTCE, na gradação máxima a"
valor,O,I-MULTA,0.9864240624530992,617,"de Melo, no valor de R$ 5.000,00"
R$,O,I-MULTA,0.9199071851431716,617,"no valor de R$ 5.000,00 (cinco mil"
um,O,I-MULTA,0.704624379815992,196,"21.600,00 (Vinte e um mil e seiscentos"
de,I-OBRIGACAO,O,0.998150472962462,354,Determinar o envio de cópia dos autos
encerramento.,I-RECOMENDACAO,O,0.9933687837217297,287,"inativo, até seu encerramento."
remessa,I-OBRIGACAO,O,0.9978915902692789,616,determinar a imediata remessa de cópia do
por,O,I-MULTA,0.9688147216148625,716,"Sena, gestor responsável, por força do art."
não,I-MULTA,O,0.9984000027334221,93,de cunho formal não elididas após a
razões,I-RESSARCIMENTO,O,0.9974943156325399,859,"contidas. Ademais, pelas razões já expostas, por"
ciência,I-RESSARCIMENTO,O,0.9983593516459779,781,Público estadual para ciência do decisum.
Estado,I-OBRIGACAO,O,0.7098473900623781,561,dos Servidores do Estado do Rio Grande
permanecer,I-RECOMENDACAO,O,0.994966080761711,287,enquanto o ente permanecer cadastrado como jurisdicionado
do,O,I-MULTA,0.9952665954489235,196,"do 2º semestre do exercício de 2013,"
trânsito,I-OBRIGACAO,O,0.9979507914940493,616,"Estadual, independentemente do trânsito em julgado da"
R$,O,I-MULTA,0.9927164034188408,715,"no valor de R$ 5.000,00 (cinco mil"
"I,",O,I-MULTA,0.9712792272368579,810,"art. 78, inciso I, combinado com o"
pela,O,I-MULTA,0.8780108725701815,196,"e seiscentos reais), pela omissão na divulgação"
"2013,",O,I-MULTA,0.9792236816448447,196,"do exercício de 2013, valor equivalente a"
"pejus,",I-RESSARCIMENTO,O,0.9963575255824224,859,"da reformatio in pejus, acrescento as irregularidades"
"Morais,",I-MULTA,O,0.998726221104437,369,"Tufenis da Silva Morais, para, no mérito,"
gradação,O,I-MULTA,0.8117965201577145,715,"da LOTCE, na gradação máxima a que"
de,O,I-MULTA,0.9765415713877426,617,"Melo, no valor de R$ 5.000,00 (cinco"
Vieira,O,I-MULTA,0.9809481309611717,617,"das Chagas Eufrásio Vieira de Melo, no"
Público,I-OBRIGACAO,O,0.9975927587264215,616,"proferido ao Ministério Público Comum Estadual, independentemente"
a,O,I-MULTA,0.994942890165993,196,"2013, valor equivalente a 30% (trinta por"
Ente,I-RECOMENDACAO,O,0.9957219687852806,638,em referência pelo Ente Municipal em epígrafe.
que,I-MULTA,O,0.9981647660079644,93,"da primariedade, o que afasta aplicação do"
de,O,I-MULTA,0.9943879388860328,715,"Melo, no valor de R$ 5.000,00 (cinco"
"5.000,00",O,I-MULTA,0.9954154255520655,715,"valor de R$ 5.000,00 (cinco mil reais),"
do,O,I-MULTA,0.9949347970546348,716,"012/2016, em razão do atraso no encaminhamento"
Izabel,I-RESSARCIMENTO,O,0.7030230493258911,527,a Sra Maria Izabel Araújo Montenegro ao
no,O,I-MULTA,0.8490451375577359,715,"Pereira de Melo, no valor de R$"
máxima,O,I-MULTA,0.8474573366285758,715,"LOTCE, na gradação máxima a que se"
os,I-RESSARCIMENTO,O,0.9968969661822226,781,"em julgado, remetam-se os autos ao Corpo"
à,I-RECOMENDACAO,O,0.8849828102630355,638,do fato relativo à não realização de
monetária.,I-RESSARCIMENTO,O,0.9898153112261273,781,juros e atualização monetária. d) Encaminhe-se cópia
no,O,I-MULTA,0.8207960743662132,617,"Vieira de Melo, no valor de R$"
no,O,I-MULTA,0.9931020948254047,715,"reais), com fundamento no art. 107, II,"
na,O,I-MULTA,0.9366600534433677,617,"“b”, da LOTCE, na gradação máxima a"
das,I-RECOMENDACAO,O,0.986559095240152,638,"for o caso, das medidas pertientes à"
"reais),",O,I-MULTA,0.8181315265531922,617,"5.000,00 (cinco mil reais), com fundamento no"
Grande,I-OBRIGACAO,O,0.7177462949118821,561,Estado do Rio Grande do Norte -
"21.600,00",O,I-MULTA,0.8404692525052893,196,"valor de R$ 21.600,00 (Vinte e um"
Aldemir,B-MULTA,I-MULTA,0.9836359490760749,651,"multa ao Sr. Aldemir Paulino da Silva,"
"Melo,",O,I-MULTA,0.8987356274717094,617,"Eufrásio Vieira de Melo, no valor de"
b),I-RESSARCIMENTO,O,0.9963691485905916,781,"de R$ 98.170,00. b) Pela aplicação de"
Ministério,I-RESSARCIMENTO,O,0.995560185248554,833,desta decisão ao Ministério Público Estadual.
quanto,I-RESSARCIMENTO,O,0.99761568433576,856,"demais termos, notadamente quanto ao julgamento pela"
Tribunal;,I-OBRIGACAO,O,0.7066885436591808,616,no site do Tribunal; 3) que se
Regional,I-RECOMENDACAO,O,0.9890369617247945,287,ao Consórcio Público Regional de Saneamento Básico
da,I-MULTA,O,0.9984649856552752,369,"pelo Sr. Tufenis da Silva Morais, para,"
c),I-MULTA,O,0.8226272433836361,819,sem concurso pública; c) Para que a
de,I-RESSARCIMENTO,O,0.9770282592404494,859,acrescento as irregularidades de não aplicação dos
Público,I-RESSARCIMENTO,O,0.9965456237070525,833,decisão ao Ministério Público Estadual.
que,O,I-MULTA,0.6954861608612053,715,gradação máxima a que se refere o
do,O,I-MULTA,0.9927219526978084,716,"Anuais de Gestão do IPPFICA, referentes ao"
R$,O,I-MULTA,0.9847286051580065,196,"no valor de R$ 21.600,00 (Vinte e"
com,O,I-MULTA,0.9921848934212175,810,"atualizado do débito, com fulcro no art."
Complementar,I-RESSARCIMENTO,O,0.9856617811615601,856,"“a”, da Lei Complementar nº 121/94."
guerreado,I-RESSARCIMENTO,O,0.9964218093904185,856,que o Acórdão guerreado fica mantido em
a,O,I-MULTA,0.7182361347676716,617,na gradação máxima a que se refere
Saneamento,I-RECOMENDACAO,O,0.9960151265734087,287,Público Regional de Saneamento Básico do Vale
do,O,I-MULTA,0.9930834427254065,810,"do valor atualizado do débito, com fulcro"
Previdência,I-OBRIGACAO,O,0.7936834709965357,561,o Instituto de Previdência dos Servidores do
site,I-OBRIGACAO,O,0.9970169764721295,616,para consulta no site do Tribunal; 3)
"Estadual,",I-OBRIGACAO,O,0.9965905328549114,354,"ao Ministério Público Estadual, para conhecimento e"
Acórdão,I-OBRIGACAO,O,0.9922486517203195,616,de cópia do Acórdão ora proferido ao
-,I-OBRIGACAO,O,0.8993371816489091,779,Resolução nº. 09/12 - TCERN.
09/12,I-OBRIGACAO,O,0.8164291959700217,779,pela Resolução nº. 09/12 - TCERN.
se,O,I-MULTA,0.8145233989285998,617,máxima a que se refere o art.
adote,B-OBRIGACAO,O,0.7078986068993621,226,responsável para que adote as medidas regularizadoras
autos,I-OBRIGACAO,O,0.9977393365547281,354,de cópia dos autos ao Ministério Público
no,O,I-MULTA,0.9791753573888495,617,"reais), com fundamento no art. 107, II,"
máxima,O,I-MULTA,0.7683259016647443,617,"LOTCE, na gradação máxima a que se"
valor,O,I-MULTA,0.8732525926488771,715,"de Melo, no valor de R$ 5.000,00"
pela,I-MULTA,O,0.9960507553036881,430,"012/2007; E ainda, pela decretação da extinção"
"reais),",O,I-MULTA,0.9765902098650071,715,"5.000,00 (cinco mil reais), com fundamento no"
imediata,I-OBRIGACAO,O,0.9968936793743766,616,2) determinar a imediata remessa de cópia
no,I-OBRIGACAO,O,0.9973248942244358,616,disponível para consulta no site do Tribunal;
de,O,I-MULTA,0.8259849934640493,196,"multa no valor de R$ 21.600,00 (Vinte"
que,O,I-MULTA,0.6958131066343503,617,gradação máxima a que se refere o
ato,I-OBRIGACAO,O,0.9968469700827919,779,"pagamento decorrente do ato impugnado, sob pena"
na,O,I-MULTA,0.942626813715589,196,"reais), pela omissão na divulgação do RGF"
possa,I-RECOMENDACAO,O,0.9967288331275339,638,"voto, para que possa levar em consideração"
Pela,I-RESSARCIMENTO,O,0.9945981555728154,781,"R$ 98.170,00. b) Pela aplicação de multa"
conhecimento,I-OBRIGACAO,O,0.9974128619620725,354,"Público Estadual, para conhecimento e atuação no"
art.,O,I-MULTA,0.8174335711428453,810,"com fulcro no art. 78, inciso I,"
do,I-OBRIGACAO,O,0.9968754703145575,616,"Comum Estadual, independentemente do trânsito em julgado"
"78,",O,I-MULTA,0.8496756677932099,810,"fulcro no art. 78, inciso I, combinado"
Ministério,I-OBRIGACAO,O,0.9941257111642614,616,"ora proferido ao Ministério Público Comum Estadual,"
1),I-MULTA,O,0.9500744094978342,93,(dez mil reais): 1) fato gerador -
o,I-RESSARCIMENTO,O,0.997033320400088,856,"fim, ressaltando-se que o Acórdão guerreado fica"
do,O,I-MULTA,0.9941599430369804,196,divulgação do RGF do 2º semestre do
Gestão,O,I-MULTA,0.9926279098399673,716,"Contas Anuais de Gestão do IPPFICA, referentes"
decretação,I-MULTA,O,0.9941947141157765,430,"E ainda, pela decretação da extinção da"
envio,I-OBRIGACAO,O,0.9970025182075388,354,vinculadas. Determinar o envio de cópia dos
o,O,I-MULTA,0.8390004373561963,617,"que se refere o art. 31, I,"
responsável,I-RESSARCIMENTO,O,0.8689443980253673,831,"da conduta do responsável pelas contas, ora"
aqui,I-RECOMENDACAO,O,0.9790339975818559,638,consideração os fatos aqui examinados quando da
razão,O,I-MULTA,0.9924937118402344,716,"n° 012/2016, em razão do atraso no"
RECOMENDAR,B-RECOMENDACAO,O,0.9528198298365106,522,município e ainda RECOMENDAR ao Chefe do
"Estadual,",I-OBRIGACAO,O,0.9958438676739262,616,"Ministério Público Comum Estadual, independentemente do trânsito"
Alysson,B-MULTA,I-MULTA,0.7045159510748596,582,"gestor responsável, Sr. Alysson Moisés de Medeiros,"
período,O,I-MULTA,0.9897250457750214,630,"do Fogo no período de apuração, multa"
Hosanira,B-MULTA,O,0.9580230625087724,594,"Prefeita Municipal, Sra. Hosanira Galvão, e o"
encaminhamento,O,I-MULTA,0.9932617019590297,716,do atraso no encaminhamento a este Tribunal
competência.,I-OBRIGACAO,O,0.9970862480486841,354,"âmbito de sua competência. Por fim, não"
"reais),",O,I-MULTA,0.9804675128988433,196,"mil e seiscentos reais), pela omissão na"
do,I-OBRIGACAO,O,0.8787635953653008,779,"qualquer pagamento decorrente do ato impugnado, sob"
"ainda,",I-MULTA,O,0.9944527047386518,430,"nº 012/2007; E ainda, pela decretação da"
mil,O,I-MULTA,0.8230920823743939,717,"R$ 2.800,00 (dois mil e oitocentos reais),"
e,I-OBRIGACAO,O,0.9967269723810636,354,"Estadual, para conhecimento e atuação no âmbito"
atualizado,I-OBRIGACAO,O,0.6998730294519127,491,com valor devidamente atualizado pela portaria vigente.
a,O,I-MULTA,0.9897782429612051,810,multa no equivalente a 100% (cem por
ao,O,I-MULTA,0.9902015718577768,717,atraso na remessa ao TCE/RN de dados
Jailson,B-MULTA,I-MULTA,0.7186988623612224,707,"gestor responsável, Sr. Jailson Floriano do Nascimento,"
§,I-OBRIGACAO,O,0.9612064061327895,616,"do art. 75, § 3º, da LCE"
TCERN.,I-OBRIGACAO,O,0.9726211413421771,779,nº. 09/12 - TCERN.
no,O,I-MULTA,0.9588792238872818,716,razão do atraso no encaminhamento a este
cem,O,I-MULTA,0.9909614378581303,716,"1.100,00 (mil e cem reais), em desfavor"
"2008,",O,I-MULTA,0.9106298838651703,430,"5º Bimestre de 2008, multa de R$"
Parquet,I-OBRIGACAO,O,0.9964947585821318,561,"Técnico e do Parquet Especial, sob pena"
"II,",I-OBRIGACAO,I-MULTA,0.9660185451058684,336,"artigo 323, inciso II, alínea `f`, do"
possível,I-RESSARCIMENTO,O,0.8706095985114511,831,"sua competência, do possível enquadramento em improbidade"
do,I-RESSARCIMENTO,O,0.8123375748573127,831,"de sua competência, do possível enquadramento em"
dialética,I-MULTA,O,0.980429509768293,93,elididas após a dialética processual examinadas à
e,I-RESSARCIMENTO,O,0.9923230753042097,831,em improbidade administrativa e em ilícito penal
dever,I-RESSARCIMENTO,O,0.9549025463631978,831,bem assim o dever de representação ao
envio,I-OBRIGACAO,O,0.9954195502546812,561,"ora identificadas e envio da documentação pertinente,"
do,I-RESSARCIMENTO,O,0.9888073924437311,831,"penal da conduta do responsável pelas contas,"
"competência,",I-RESSARCIMENTO,O,0.9677258838981628,831,"âmbito de sua competência, do possível enquadramento"
Para,I-MULTA,O,0.9233849951962046,819,concurso pública; c) Para que a câmara
em,I-RESSARCIMENTO,O,0.9916774702668486,831,do possível enquadramento em improbidade administrativa e
art.,I-RESSARCIMENTO,O,0.990937284195569,856,"nos termos do art. 78, II e"
de,I-RESSARCIMENTO,O,0.9902816919262555,831,"Estadual para fins de apuração, no âmbito"
da,O,I-MULTA,0.939703295812509,617,"31, I, “b”, da Resolução nº 004/2013-TCE."
