,datasessao,texto_acordao,idcomposicaopauta,idvoto,idvotopauta,year,ner_decisao
693,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.",106961,33853,33853.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
694,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentador, com o posterior arquivamento do processo.",106962,33860,33860.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
695,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.",106963,33852,33852.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
696,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.",106964,33851,33851.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
697,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em consonância com a informação da Diretoria de Atos de Pessoal e com o parecer do Ministério Público de Contas, e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.",106965,33850,33850.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
698,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acompanhando o posicionamento do Ministério Público de Contas, e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentador, com o posterior arquivamento do processo.",106966,33881,33881.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
699,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, divergindo parcialmente da Informação do Corpo Técnico da DAP e do Parecer do MPC – que sugeriram o registro do ato com fundamento diverso –, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",106977,33927,33927.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
700,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.",107008,33970,33970.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
701,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentador, com o posterior arquivamento do processo.
 ",107009,33922,33922.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
702,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.",107010,33971,33971.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
703,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentador, com o posterior arquivamento do processo.
 ",107011,33919,33919.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
704,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em consonância ao que foi decidido pelo Supremo Tribunal Federal no RE 636.553/RS, com repercussão geral reconhecida (Tema 445), e acolhendo integralmente o voto da Conselheira Relatora, julgar pelo REGISTRO TÁCITO do ato de concessão de aposentadoria sob análise, com a anotação da despesa e o consequente arquivamento dos autos.
",107016,33992,33992.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
705,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em consonância ao que foi decidido pelo Supremo Tribunal Federal no RE 636.553/RS, com repercussão geral reconhecida (Tema 445), e acolhendo integralmente o voto da Conselheira Relatora, julgar pelo REGISTRO TÁCITO do ato de concessão de aposentadoria sob análise, com a anotação da despesa e o consequente arquivamento dos autos.
",107017,33993,33993.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
706,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em consonância ao que foi decidido pelo Supremo Tribunal Federal no RE 636.553/RS, com repercussão geral reconhecida (Tema 445), e acolhendo integralmente o voto da Conselheira Relatora, julgar pelo REGISTRO TÁCITO do ato de concessão de aposentadoria sob análise, com a anotação da despesa e o consequente arquivamento dos autos.
",107018,33994,33994.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
707,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em consonância ao que foi decidido pelo Supremo Tribunal Federal no RE 636.553/RS, com repercussão geral reconhecida (Tema 445), e acolhendo integralmente o voto da Conselheira Relatora, julgar pelo REGISTRO TÁCITO do ato de concessão de aposentadoria sob análise, com a anotação da despesa e o consequente arquivamento dos autos.
",107019,33995,33995.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
708,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a informação da Diretoria de Atos de Pessoal e com o parecer do Ministério Público de Contas, e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.
",107053,33984,33984.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
709,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a informação da Diretoria de Atos de Pessoal e com o parecer do Ministério Público de Contas, e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.
",107054,33986,33986.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
710,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentador, com o posterior arquivamento do processo.",107055,34019,34019.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
711,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.

",107057,33985,33985.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
712,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.
",107058,33987,33987.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
713,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro do ato aposentador e da despesa dele decorrente, nos termos do disposto no art. 71, III da Constituição Federal, combinado com o art. 53, III da Constituição Estadual e art. 1º, III da Lei Complementar nº 464/2012.",107083,34050,34050.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
714,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro do ato aposentador e da despesa dele decorrente, nos termos do disposto no art. 71, III da Constituição Federal, combinado com o art. 53, III da Constituição Estadual e art. 1º, III da Lei Complementar nº 464/2012.",107084,34059,34059.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
715,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro do ato aposentador e da despesa dele decorrente, nos termos do disposto no art. 71, III da Constituição Federal, combinado com o art. 53, III da Constituição Estadual e art. 1º, III da Lei Complementar nº 464/2012.
",107085,34058,34058.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
716,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro do ato aposentador e da despesa dele decorrente, nos termos do disposto no art. 71, III da Constituição Federal, combinado com o art. 53, III da Constituição Estadual e art. 1º, III da Lei Complementar nº 464/2012.
",107086,34057,34057.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
717,2023-01-24 00:00:00.000,"Vistos, relatados e discutidos estes autos, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, concordando com o Ministério Público junto a esta Corte, julgar pelo conhecimento e improvimento do recurso de pedido de reconsideração interposto, mantendo, por conseguinte, inalterável o Acórdão nº 112/2019-TC.",107087,34060,34060.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
718,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro do ato aposentador e da despesa dele decorrente, nos termos do disposto no art. 71, III da Constituição Federal, combinado com o art. 53, III da Constituição Estadual e art. 1º, III da Lei Complementar nº 464/2012.
",107088,34055,34055.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
719,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro do ato aposentador e da despesa dele decorrente, nos termos do disposto no art. 71, III da Constituição Federal, combinado com o art. 53, III da Constituição Estadual e art. 1º, III da Lei Complementar nº 464/2012.",107089,34054,34054.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
720,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro do ato aposentador e da despesa dele decorrente, nos termos do disposto no art. 71, III da Constituição Federal, combinado com o art. 53, III da Constituição Estadual e art. 1º, III da Lei Complementar nº 464/2012.
",107090,34053,34053.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
721,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro do ato aposentador e da despesa dele decorrente, nos termos do disposto no art. 71, III da Constituição Federal, combinado com o art. 53, III da Constituição Estadual e art. 1º, III da Lei Complementar nº 464/2012.",107091,34052,34052.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
722,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro do ato aposentador e da despesa dele decorrente, nos termos do disposto no art. 71, III da Constituição Federal, combinado com o art. 53, III da Constituição Estadual e art. 1º, III da Lei Complementar nº 464/2012.",107092,34051,34051.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
723,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.",107094,34033,34033.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
724,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentador, com o posterior arquivamento do processo.",107096,34045,34045.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
725,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.",107097,34029,34029.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
726,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.",107098,34032,34032.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
727,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.",107099,34031,34031.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
728,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentador, com o posterior arquivamento do processo.",107100,34044,34044.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
729,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentador, com o posterior arquivamento do processo.",107101,34046,34046.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
730,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato, com o posterior arquivamento do processo.",107102,34047,34047.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
731,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.
",107103,34066,34066.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
732,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acompanhando o posicionamento do Ministério Público de Contas, e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentador, com o posterior arquivamento do processo.",107106,34071,34071.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
733,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentador, com o posterior arquivamento do processo.",107108,34072,34072.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
734,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.
",107110,34069,34069.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
735,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentador, com o posterior arquivamento do processo.
 ",107111,34076,34076.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
736,2023-01-24 00:00:00.000,"Vistos, relatados e discutidos estes autos, em dissonância com o Corpo Técnico e com o parecer do Ministério Público junto a esta Corte, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar:
a) pelo indeferimento do pleito de medida cautelar de suspensão imediata da Concorrência nº 01/2022, conduzida pelo Consórcio Intermunicipal Multifinalitário da Associação dos Municípios do Litoral Agreste Potiguar – CIM (“AMLAP”), sem prejuízo da:
a.1) Expedição de Recomendação ao Presidente do Consórcio Intermunicipal Multifinalitário da Associação dos Municípios do Litoral Agreste Potiguar – CIM – AMLAP para que novos editais de processos licitatórios que eventualmente venham a ser abertos no âmbito do aludido Consórcio sejam elaborados com a retificação das irregularidades apontadas no item 1, págs. 07 a 12, da Proposta de Voto.
b) Concessão de medida cautelar ex officio e inaudita altera pars, para que se garanta já a efetividade da tutela em apreço, com determinação ao atual Presidente do Consórcio Intermunicipal para Gestão Integrada dos Resíduos Sólidos (Consórcio Intermunicipal Multifinalitário da Associação dos Municípios do Litoral Agreste Potiguar – CIM - “AMLAP”, a fim de que, no prazo de 15 (quinze) dias úteis, atualize as informações necessárias ao SIAI-análise, notadamente o anexo 38 , relativamente aos dados do Processo Licitatório - Concorrência nº 01/2022, devendo realizar a alimentação do SIAI com toda a documentação relativa às fases já executadas, devendo proceder da mesma forma em relação a todos os processos licitatórios e contratações celebradas pelo ente, consoante apregoa o art. 12, da Resolução nº 0023/2020 – TCE/RN, juntando, no referido prazo, a documentação comprobatória nos presentes autos, sob pena de multa diária, fixada com base no art. 110 da Lei Complementar Estadual nº 464/2012, sem prejuízo da incidência da multa prevista no art. 107, II, “f”, da Lei Complementar Estadual nº 464/2012, c.c o artigo 21, I, “b” , da Resolução nº 023/2020 – TCE/RN.
c) A Citação do atual Presidente do Consórcio Intermunicipal para Gestão Integrada dos Resíduos Sólidos (Consórcio Intermunicipal Multifinalitário da Associação dos Municípios do Litoral Agreste Potiguar – CIM - “AMLAP”), e da Presidente da CPL, Sra. Sandra Gervaise de Araújo, para que, querendo, apresentem defesa, informações e justificativas sobre as irregularidades apontadas no item 1, págs. 07 a 12, da Proposta de Voto, assim como, em relação ao Presidente do Consórcio em tela, acerca da medida cautelar determinada ex officio por esta Corte de Contas, consoante disposto na alínea “b” acima, em homenagem aos princípios constitucionais do contraditório e da ampla defesa (artigo 5º, inciso LV, da Constituição da República), nos termos do artigo 45, inciso I, da Lei Orgânica do TCE/RN.
Intimem-se o Responsável legal da Representante, Braseco S/A; o Presidente do Consórcio Intermunicipal para Gestão Integrada dos Resíduos Sólidos (Consórcio Intermunicipal Multifinalitário da Associação dos Municípios do Litoral Agreste Potiguar – CIM - “AMLAP”), e a Presidente da CPL, Sra. Sandra Gervaise de Araújo, acerca dos termos desta Decisão. 
",107122,33493,33493.0,2023,"multas=[] ressarcimentos=[] obrigacoes=[NERObrigacao(descricao_obrigacao='Concessão de medida cautelar ex officio e inaudita altera pars, para que se garanta já a efetividade da tutela em apreço, com determinação ao atual Presidente do Consórcio Intermunicipal para Gestão Integrada dos Resíduos Sólidos (Consórcio Intermunicipal Multifinalitário da Associação dos Municípios do Litoral Agreste Potiguar – CIM - “AMLAP”, a fim de que, no prazo de 15 (quinze) dias úteis, atualize as informações necessárias ao SIAI-análise, notadamente o anexo 38 , relativamente aos dados do Processo Licitatório - Concorrência nº 01/2022, devendo realizar a alimentação do SIAI com toda a documentação relativa às fases já executadas, devendo proceder da mesma forma em relação a todos os processos licitatórios e contratações celebradas pelo ente, consoante apregoa o art. 12, da Resolução nº 0023/2020 – TCE/RN, juntando, no referido prazo, a documentação comprobatória nos presentes autos, sob pena de multa diária, fixada com base no art. 110 da Lei Complementar Estadual nº 464/2012, sem prejuízo da incidência da multa prevista no art. 107, II, “f”, da Lei Complementar Estadual nº 464/2012, c.c o artigo 21, I, “b” , da Resolução nº 023/2020 – TCE/RN'), NERObrigacao(descricao_obrigacao='Citação do atual Presidente do Consórcio Intermunicipal para Gestão Integrada dos Resíduos Sólidos (Consórcio Intermunicipal Multifinalitário da Associação dos Municípios do Litoral Agreste Potiguar – CIM - “AMLAP”), e da Presidente da CPL, Sra. Sandra Gervaise de Araújo, para que, querendo, apresentem defesa, informações e justificativas sobre as irregularidades apontadas no item 1, págs. 07 a 12, da Proposta de Voto, assim como, em relação ao Presidente do Consórcio em tela, acerca da medida cautelar determinada ex officio por esta Corte de Contas, consoante disposto na alínea “b” acima, em homenagem aos princípios constitucionais do contraditório e da ampla defesa (artigo 5º, inciso LV, da Constituição da República), nos termos do artigo 45, inciso I, da Lei Orgânica do TCE/RN')] recomendacoes=[NERRecomendacao(descricao_recomendacao='Expedição de Recomendação ao Presidente do Consórcio Intermunicipal Multifinalitário da Associação dos Municípios do Litoral Agreste Potiguar – CIM – AMLAP para que novos editais de processos licitatórios que eventualmente venham a ser abertos no âmbito do aludido Consórcio sejam elaborados com a retificação das irregularidades apontadas no item 1, págs. 07 a 12, da Proposta de Voto')]"
737,2023-01-24 00:00:00.000,"Vistos, relatados e discutidos estes autos, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo CONHECIMENTO e DESPROVIMENTO do Pedido de Reconsideração, devendo, consequentemente, ser mantida em inteiro teor a Decisão no 1175/2020-TC (Evento 13).",107123,33775,33775.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
738,2023-01-24 00:00:00.000,"Vistos, relatados e discutidos estes autos,  ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo CONHECIMENTO e DESPROVIMENTO do Pedido de Reconsideração, devendo, consequentemente, ser mantida em inteiro teor a Decisão no 1212/2020-TC (Evento 13).",107124,33774,33774.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
739,2023-01-24 00:00:00.000,"Vistos, relatados e discutidos estes autos, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, acolhendo integralmente o Parecer Ministerial junto a esta Corte, julgar no que concerne ao mérito do recurso interposto, pelo CONHECIMENTO e DESPROVIMENTO do Pedido de Reconsideração, devendo, consequentemente, ser mantida em inteiro teor a Decisão no 2725/2020-TC (Evento 31).",107125,33776,33776.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
